node,capacity_limit
AT,359.2954990163079
BE,416.960208725375
BG,34.755381604696666
CH,0.0
CZ,257.74298760600124
DE,2219.7438659752115
DK,0.0
EE,0.0
EL,76.55577299412916
ES,747.3450750319633
FI,206.13176779125897
FR,803.0267449685582
HR,4.643024794259621
HU,103.27462491846052
IE,0.0
IT,1252.3846368949771
LT,0.0
LU,121.43625424657533
LV,0.0
NL,355.5381604696673
NO,33.95705153294194
PL,512.3026744944552
PT,88.71493803000651
RO,185.25766470971948
SE,242.8180039191128
SI,34.129158512720146
SK,267.7103718199608
UK,375.73385518590993
