node,capacity_limit
AT,368.87526816986804
BE,577.5460732845286
BG,238.3062853043704
CH,368.87526816986804
CZ,368.8090514318935
DE,2781.0410251691706
DK,260.677964024533
EE,11.568310110862441
EL,15.83073922582894
ES,1765.9181354265634
FI,131.63482799355967
FR,1595.554462147318
HR,101.05686125312353
HU,107.68056755460641
IE,150.12721082833158
IT,2096.5334620588405
LT,27.35859069821773
LU,1.9878619680082021
LV,50.473053959352534
NL,210.7851347822346
NO,131.63482799355967
PL,930.5827092177587
PT,431.85915867372336
RO,241.1847268034516
SE,56.00637533439264
SI,121.89436566410502
SK,86.58627151951978
UK,2328.081049812276
