iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds
10,"[[ 0.02963199 -0.08137217  0.65980703  0.69737363 -0.13937406 -0.2060525
   0.08945358 -0.02032083  0.02296908]
 [ 0.16193993  0.51597112 -0.27618411 -0.42603826  0.06032409  0.41805383
  -0.07411094 -0.42287144 -0.29502934]
 [-0.00298137 -0.25301604 -0.4800718  -0.44684598  0.33869778  0.41280199
   0.07589203 -0.3688608  -0.28088107]
 [-0.01363002  0.48389312 -0.46987004 -0.23420999  0.52382862 -0.12579464
  -0.37746678  0.04331286 -0.23548164]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.0344731  0.02780732 0.65178199 0.67909497 0.0454871  0.04122016
  0.04888873 0.0413612  1.00000007]
 [0.07376462 0.90590328 0.11776654 0.08740847 0.12904887 0.18651788
  0.04789617 0.02858343 0.99999998]
 [0.04886515 0.03571513 0.09604843 0.07953674 0.38061791 0.7792584
  0.06247332 0.03180091 0.99999989]
 [0.05483036 0.45302898 0.10499839 0.09746055 0.65777833 0.13125365
  0.03591575 0.04360485 1.00000015]]",[0.91406065 0.18469395 0.07189094 0.22721052],4,0.50260882415693,0.028939761796717287,0.04539989621753072,0.2167509608488276,0.42950266265918996,893.8585286929738
11,"[[ 0.38863245 -0.13631779 -0.34436393 -0.43398774  0.33373554 -0.35197616
   0.42774758 -0.11770176 -0.30226161]
 [-0.24285402 -0.36613438 -0.33023421  0.44991621  0.51949149 -0.20149234
   0.36922156 -0.07167823  0.20869933]
 [-0.35182263 -0.02952444 -0.4709136   0.20800336  0.54638046 -0.18954094
   0.06113154  0.49307664  0.1703089 ]
 [-0.01172406  0.19874271 -0.31343585  0.47547475  0.55867289 -0.28687037
   0.21748235 -0.44029568 -0.0218345 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.11405967 0.04741609 0.12617546 0.10222437 0.19643501 0.11338218
  0.87500764 0.09158786 0.99999994]
 [0.02896079 0.02097451 0.13334588 0.38753921 0.79138915 0.11434002
  0.11287521 0.06103718 1.00000058]
 [0.03101249 0.03054279 0.12959602 0.15079428 0.74238892 0.11851662
  0.0811945  0.37273495 1.00000018]
 [0.05083731 0.03978804 0.13678994 0.37567629 0.82758135 0.11465038
  0.06085097 0.03055596 1.00000039]]",[0.03693951 0.74969373 0.70074695 0.5504646 ],4,0.4743749960222122,0.032963225264318066,0.05036351982077756,0.20358646707349978,0.41685803830475476,833.1220156990457
12,"[[-0.05011281  0.56459037 -0.49123485  0.28239942 -0.12780064 -0.13403667
  -0.03015976 -0.08367941 -0.56165347]
 [ 0.00977971  0.65357998  0.0531202   0.44242685 -0.03670102 -0.0593925
   0.03567595 -0.0211564  -0.60628334]
 [ 0.07886632 -0.35762349 -0.5219624   0.40355149 -0.06023421  0.45048034
   0.45678222 -0.11176181  0.05371774]
 [-0.18365402 -0.16841476 -0.54677281  0.55203368 -0.20244201  0.4952672
  -0.09562091 -0.18077848  0.0781626 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.05666229 0.31699843 0.14061351 0.16619146 0.08454064 0.07759753
  0.0605976  0.04594482 0.22069288]
 [0.04811942 0.28460385 0.21231208 0.19856972 0.07749259 0.07393686
  0.05311569 0.04388743 0.18307495]
 [0.04527913 0.02798551 0.11824437 0.2391972  0.10451754 0.32836447
  0.74186584 0.06563889 1.00001039]
 [0.03580394 0.02879188 0.10226843 0.74681723 0.07549316 0.3754926
  0.04771183 0.03329928 1.00000024]]",[0.00316245 0.16834841 0.5552517  0.58319291],4,0.48454724930345244,0.03837125759183781,0.05693823992411016,0.1950439827103469,0.4203061590197439,769.226316090906
13,"[[ 0.52699465  0.04333219 -0.33299501  0.49278987 -0.29162901  0.11131623
  -0.00946072  0.51348557 -0.07399813]
 [ 0.39926209  0.33749859  0.54809148 -0.29084004 -0.28909815 -0.08288397
  -0.18046443 -0.45681172  0.1000022 ]
 [ 0.57999585  0.66851423  0.35445689 -0.05971963 -0.15333661 -0.08374429
  -0.20902736  0.09064527  0.07108577]
 [ 0.14597187 -0.44091219  0.4185946  -0.50083835 -0.04630665 -0.18792689
   0.38719112 -0.04647274 -0.41071968]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.72668141 0.05201077 0.14921592 0.2825634  0.07095281 0.07299424
  0.07194426 0.2845909  1.00000015]
 [0.26114415 0.24856978 0.73298517 0.18292399 0.04615715 0.06418276
  0.03492166 0.02436104 1.00000461]
 [0.42785055 0.70822209 0.20668004 0.15453765 0.05423672 0.06448107
  0.03626742 0.04142893 1.00000093]
 [0.05081726 0.03201428 0.28382941 0.16755922 0.07679479 0.08122933
  0.16346032 0.09194627 0.11341613]]",[0.53365526 0.60060668 0.83918221 0.02180565],4,0.4322472918540101,0.05435955580766744,0.07589952416847999,0.1881774559863931,0.4029140758336459,767.4309575790539
14,"[[ 0.25254201 -0.03028349 -0.27817899  0.42945848 -0.34946743 -0.20074978
   0.51296746  0.01166994 -0.49778263]
 [ 0.41497343  0.41520628 -0.36014094 -0.01627364 -0.083366   -0.11195139
  -0.00749061  0.55072632 -0.45010651]
 [ 0.40663837  0.13532986  0.3260235  -0.58000828 -0.25939317 -0.39192263
   0.37324947  0.08676691 -0.07680052]
 [ 0.19569918 -0.09445708 -0.47711379  0.35508113  0.09316908 -0.32227539
  -0.27572646  0.45883772 -0.44716939]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.06654487 0.04112287 0.16683549 0.30890445 0.05892315 0.05858668
  0.20039779 0.09312449 0.20904174]
 [0.15044768 0.10452647 0.12548989 0.12022375 0.07730283 0.07688519
  0.06544183 0.88699384 1.00000676]
 [0.79900135 0.10390083 0.22463946 0.12985011 0.05132441 0.05868775
  0.22645316 0.1204057  0.99999996]
 [0.06727291 0.04098915 0.14025678 0.22491578 0.1025717  0.07906418
  0.05390397 0.31673981 0.27928358]]",[0.06928551 0.08152058 0.31874507 0.01189687],4,0.40514147430911596,0.05804941961538191,0.08019812230838554,0.18270244943280928,0.40224121060894985,892.3093994988594
15,"[[-0.11281705  0.01415588  0.53018007 -0.4722941   0.43533243  0.40884492
  -0.24916901 -0.18137383  0.17683083]
 [ 0.39347647  0.32831299  0.49564237 -0.32664179 -0.1636767   0.43837915
  -0.22563938  0.31295735 -0.13118258]
 [-0.44772134  0.02768492  0.42550611  0.54176163 -0.05414525 -0.20789492
  -0.07554171  0.49424221  0.16758315]
 [-0.30167507  0.49078129 -0.04804217  0.45425004 -0.13075226 -0.37892034
   0.44389833  0.29801513  0.11375067]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.03185339 0.03476622 0.58829155 0.15408056 0.44118028 0.35948377
  0.03208919 0.02755707 1.00000194]
 [0.5347807  0.12904837 0.4066433  0.15515422 0.05475941 0.33290497
  0.03761163 0.07624506 1.00000033]
 [0.02044785 0.02512682 0.38719129 0.41259994 0.0482256  0.04261122
  0.04262722 0.6533417  1.00000027]
 [0.02553903 0.74896245 0.18157717 0.24049546 0.04808537 0.03191715
  0.25519986 0.13452233 1.0000016 ]]",[0.73889826 0.42482959 0.85562604 0.70913598],4,0.36540212908650904,0.050222601508762774,0.0710494538823497,0.1774122183273083,0.369727147275153,771.3664033489767
16,"[[ 0.41423773  0.09561876  0.50531915 -0.33170475  0.46092363 -0.40649503
   0.14879625 -0.01836777 -0.23178045]
 [-0.10393982  0.25214585 -0.31846014 -0.41844375  0.36875239 -0.38638286
   0.42292255  0.33842815 -0.26540499]
 [ 0.31438879  0.16110151 -0.18485204  0.39029378 -0.49104687  0.45905786
   0.10507861 -0.34291501 -0.32895763]
 [-0.08862395 -0.35564872  0.50458833 -0.33054299 -0.07102155  0.46991696
   0.43907397  0.16019777  0.23974245]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.64783618 0.05289536 0.30645861 0.17755548 0.40977451 0.10164884
  0.07075085 0.05921286 1.00000001]
 [0.04936269 0.13415335 0.11753648 0.09130496 0.17042698 0.09649667
  0.8326708  0.20749585 1.00000953]
 [0.09530959 0.05007361 0.16145839 0.26839079 0.04326325 0.86579957
  0.05238021 0.0291033  1.00000741]
 [0.02800406 0.02162525 0.28965125 0.15578906 0.06326121 0.36088963
  0.70541571 0.1100653  1.00000224]]",[0.2945938  0.13558965 0.15570837 0.81668696],4,0.38024372419505015,0.06918088265511771,0.09303202679822982,0.17293618145052567,0.34217772667968754,751.7969519658946
17,"[[ 0.16904123  0.39663383  0.49058243 -0.42384494 -0.18832429  0.45791774
   0.36288748 -0.12167736 -0.04629929]
 [-0.16653197 -0.21096511 -0.10263861  0.18263361 -0.51123506  0.46602002
   0.17847032  0.47611125 -0.38314695]
 [ 0.34429663  0.3762568  -0.2787354  -0.36500866  0.44938761 -0.35227428
   0.1546836   0.42190289  0.0314715 ]
 [-0.1721044  -0.08759159  0.3740909  -0.4466927   0.48959562  0.32898509
  -0.19693135  0.4863169  -0.0028782 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.06629974 0.16652768 0.32309435 0.14793425 0.05025476 0.74933366
  0.11905017 0.06537111 1.00000031]
 [0.03252979 0.02810177 0.17407457 0.1548903  0.0401742  0.2600743
  0.12041351 0.82516926 1.00001313]
 [0.27500448 0.2973542  0.09784587 0.07488867 0.47359434 0.09715035
  0.08749119 0.24868817 1.00000034]
 [0.03245482 0.03182827 0.18422195 0.10418059 0.39047666 0.19414575
  0.0380217  0.71846954 1.00000017]]",[0.49567844 0.13094766 0.48048761 0.60809027],4,0.373989958890434,0.07945408820429338,0.10472705780495604,0.16649454997912605,0.34079277436053534,856.4267207700759
18,"[[-0.13042106 -0.02201229  0.48103909  0.45966161 -0.28490073 -0.33853471
  -0.20586615 -0.02383277 -0.54872157]
 [ 0.46376419 -0.10608327  0.42191153  0.55683965  0.07478854 -0.32312069
  -0.01613213 -0.24854401  0.3369788 ]
 [-0.12171242 -0.27520751 -0.47234321 -0.45281479 -0.30857119 -0.38384921
  -0.30665513 -0.37162519  0.08123132]
 [ 0.45218957  0.43997499 -0.07198924 -0.04622374  0.02858552 -0.36445736
   0.47729217 -0.12947401 -0.46519876]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.03742974 0.03240203 0.32847872 0.32181939 0.05095424 0.05305936
  0.04673621 0.0460436  0.15531301]
 [0.56956903 0.04055575 0.36750087 0.5242375  0.0541072  0.03747312
  0.04061304 0.02632151 0.99999986]
 [0.12509714 0.05656259 0.11360198 0.07615805 0.07151722 0.04664284
  0.0563224  0.03008754 1.00000002]
 [0.26541071 0.27417373 0.14700647 0.14425337 0.07109294 0.05384537
  0.13817698 0.06786233 0.3842381 ]]",[ 0.17192257  1.02853229 -0.10613044  0.08421991],4,0.3709669136925493,0.08884162156992845,0.11531063905094356,0.16055710262737516,0.34453163931625885,879.1759937321767
19,"[[-0.25348394  0.36715962 -0.18808342 -0.52667615 -0.13285709  0.37846545
   0.36108691  0.43522323  0.08652427]
 [-0.1068182   0.46639398  0.52553637 -0.42538634  0.48885356 -0.02121139
  -0.14700023 -0.21921976 -0.06950123]
 [ 0.35929781 -0.27363393 -0.57624364 -0.3351183  -0.25979441  0.1973313
   0.34912085  0.33944545  0.09015094]
 [ 0.51997773  0.12414098 -0.14873562  0.37530431  0.5322382  -0.28811656
  -0.06638614 -0.11147924 -0.41001607]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.03372406 0.13061499 0.12293575 0.07539701 0.06805159 0.20409863
  0.30718221 0.67176606 1.00000062]
 [0.0317403  0.62072708 0.29918602 0.1458268  0.41657494 0.1268133
  0.03460423 0.02683054 1.00000008]
 [0.45742058 0.04453758 0.09528263 0.09367521 0.07051771 0.12117883
  0.36572314 0.37705938 1.00000005]
 [0.90475045 0.0513348  0.19117208 0.24087045 0.21997654 0.11488496
  0.05078645 0.04052725 1.00001318]]",[0.53459119 0.50179774 0.41728082 0.20485717],4,0.3498573033195802,0.10678363001017536,0.13531373167255978,0.15763874145024995,0.3644323692962354,996.0136378789321
20,"[[-0.00352719  0.47565712 -0.41135748  0.40957186 -0.19017092  0.48184274
   0.40941013  0.01597473 -0.02375992]
 [-0.14653209  0.53710051  0.53955805  0.44409588 -0.10526322 -0.17814844
  -0.06579215 -0.39304757  0.00866813]
 [-0.18461006 -0.16403178 -0.469729    0.42712614  0.35756513 -0.0121744
   0.43121887  0.43448331  0.18221999]
 [-0.09383653  0.23030129  0.61544502  0.09092722 -0.10499716  0.53756082
  -0.10482644 -0.11192611 -0.4770782 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.04881924 0.74538587 0.11485355 0.21131538 0.07077623 0.26212449
  0.13519005 0.07119352 1.0000002 ]
 [0.02894719 0.80643202 0.38786165 0.25981943 0.04758586 0.04854687
  0.03764894 0.02509663 0.99999999]
 [0.03132153 0.02516409 0.10945499 0.29587623 0.17707558 0.0993621
  0.52416046 0.46200264 1.0000061 ]
 [0.03775445 0.03834009 0.34965795 0.2066985  0.06493814 0.2814218
  0.03849295 0.03278999 0.23810848]]",[0.53924762 0.73622133 0.73614011 0.2624383 ],4,0.35358576731963215,0.10630989369951449,0.13478891290581305,0.1530231412032283,0.33893596144166527,886.8172773330007
