node,availability_import
AT,0.2421006341958396
BE,1.5298786656519532
BG,0.1779815195332318
CH,0.1691040842212074
CZ,1.546897615423643
DE,3.48176783992897
DK,1.380656202435312
EE,0.2563826674277016
EL,0.2346214865550482
ES,3.2128428526128867
FI,0.1977401255707762
FR,8.20273180492136
HR,0.1039746575342465
HU,1.9846360857432777
IE,0.5783902650938609
IT,3.805659119736174
LT,0.4121889142567224
LU,0.0482611859462201
LV,0.2380281075596144
NL,1.5554054857940132
NO,0.1713488584474886
PL,2.3026078576864535
PT,0.7017664510400812
RO,0.7285371004566209
SE,0.5823690829528159
SI,0.0501294774226281
SK,0.4307577752409944
UK,4.996263280060883
