node,demand
AT,915.6125948497172
BE,468.97823491213103
BG,90.2282629464386
CH,174.625
CZ,256.7636880188987
DE,3617.2707520588006
DK,60.51384078200137
EE,53.27416040631956
EL,70.11584748201076
ES,1163.3149436038261
FI,2765.702994025291
FR,1258.8903096933018
HR,73.46925191935571
HU,169.03047597164272
IE,15.581660198870955
IT,1616.3744263721028
LT,24.07308989141114
LU,7.925822517527561
LV,8.687956974052025
NL,460.9981147654841
NO,103.875
PL,977.8735409016392
PT,705.3612574220051
RO,144.67600421105342
SE,2816.527147762918
SI,114.70373738566167
SK,270.2952096383836
UK,1430.375
