node,demand
AT,528.4488843568431
BE,909.8411219475097
BG,272.5704886531283
CH,334.98059271993264
CZ,683.8051069894263
DE,4789.192461883034
DK,719.0475338485509
EE,80.9376036474435
EL,244.3159024682491
ES,2235.800256378241
FI,234.21739727642728
FR,3524.1869525297807
HR,131.48830929064297
HU,467.42885170541894
IE,712.4774789223928
IT,1580.7043270463207
LT,262.42169650991576
LU,30.70856782126715
LV,115.76822905616004
NL,1635.1012324000158
NO,162.24806998153608
PL,2608.501620986084
PT,331.50291639995174
RO,757.085547891755
SE,372.1190236031862
SI,81.19893392852781
SK,157.13172743168107
UK,2264.269164326575
