iteration,point,cut_direction,cut_support_value,trial_direction_gap,wall_time_seconds,ci_lower,ci_upper,mean_gap,max_gap
0,"[1.         0.28291391 0.23956716 0.30730677 0.18361192 0.04577661
 0.01561606 0.68371486 1.        ]","[ 0.24719672 -0.05496289  0.37439733  0.35370236  0.50533991  0.23205599
  0.3257219   0.50426845  0.03153262]",0.9148394972610833,1.826531307461578,45.9535521229991,0.0004226422228750862,0.003997683835657477,0.7686047805813035,1.866710506566273
1,"[1.44685419e-10 7.57210157e-01 2.27189268e-02 1.30306710e-01
 1.52227065e-01 3.79211711e-01 1.52381628e-02 5.96948205e-02
 4.95623095e-01]","[-0.33125302  0.41569605 -0.07946339 -0.27454479 -0.08024006  0.48918596
  0.32496022  0.31619171 -0.42948953]",0.2614411277436635,1.4014040375232044,36.617768950003665,0.0002078592656904649,0.003204185101432733,0.6167466027219971,1.351402626692059
2,"[1.         0.23665158 0.73505326 0.14426146 0.0660444  0.05640262
 0.41688264 0.04910737 0.99901577]","[ 0.33471637 -0.26539963  0.45147436 -0.19762263  0.1229881   0.1423752
  0.51216774  0.17789442 -0.49526275]",0.3188849777375795,1.261613798251711,36.29160923200834,0.0009545559495169254,0.005471167122258511,0.5782901292792608,1.1911291864122293
3,"[1.00000000e+00 2.39789234e-01 3.20280949e-10 4.64531693e-01
 5.58727248e-02 7.46423713e-01 1.27465569e-07 3.28756416e-02
 1.00000000e+00]","[ 0.57052882  0.078043   -0.36016397  0.47154434 -0.14988327  0.4392954
 -0.07991918  0.04607717 -0.30393811]",0.8253928027584951,1.1497075583807534,32.243777781986864,0.0018928073353613854,0.007533425909306678,0.543772638849118,1.1689888529213457
4,"[1.         0.49501862 0.09915968 0.2502381  0.13674374 0.09094727
 0.00272948 0.04664102 0.21337924]","[ 0.18137928  0.43031917  0.36046657  0.44811559 -0.04389337  0.32299083
  0.26243994  0.19539197 -0.48773024]",0.47140571963298444,1.1084407848663844,34.13396403400111,0.000675460545317257,0.004748549255124749,0.5261453172797453,1.1300828456706253
5,"[1.00000000e+00 8.32171895e-01 2.77179895e-02 7.78308696e-02
 2.70207064e-01 4.79334179e-01 4.25319907e-09 3.58882598e-02
 1.00000000e+00]","[ 0.17481887  0.52706737 -0.03172031 -0.30480218  0.44919183  0.54753237
 -0.13586524 -0.18535953 -0.20819532]",0.7578055122898962,0.9854742632985728,35.958387231003144,0.0004226422228750862,0.003997683835657477,0.46375025116391305,0.9796652441726963
6,"[2.67073082e-10 2.71537835e-01 5.47749510e-02 4.86320803e-01
 1.74124712e-01 6.63157776e-02 1.12773525e-07 4.99310376e-02
 1.55884283e-01]","[-0.28698501 -0.22765349  0.10946255  0.48712986  0.502788    0.04118038
  0.2121813  -0.11733831 -0.55068608]",0.1796572769377394,0.9892014064295203,29.84996995200345,0.0015668550208154987,0.006859658346015931,0.450254450756274,0.9506627631142743
7,"[3.35140010e-11 7.91653691e-01 7.27821128e-01 1.73425921e-02
 2.31243363e-01 1.02968913e-02 7.83502806e-09 6.58637616e-02
 1.00000000e+00]","[-0.24943856  0.54137731  0.52437771 -0.12296989  0.42358754 -0.14665304
 -0.29345932  0.12769244 -0.22636296]",0.6865929883005046,0.9139242448672925,53.09881793700333,0.0018928073353613854,0.007533425909306678,0.4370353106583744,0.8757819290485724
8,"[1.96196752e-10 4.28595676e-01 3.60289641e-11 2.15300990e-01
 7.57870567e-01 3.34155904e-01 1.88199271e-02 5.14251780e-02
 1.00000000e+00]","[-0.06656381 -0.3396875  -0.36296966 -0.48575678  0.42761985  0.39097614
  0.30169301  0.02793547 -0.29147024]",-0.07980083827277326,0.8779706249103321,47.54724026299664,0.0015668550208154987,0.006859658346015931,0.427450256558162,0.9019611250307507
9,"[5.93601963e-10 3.43986578e-01 1.45006963e-01 2.86247799e-01
 8.23346950e-02 6.11201997e-02 8.34781548e-03 8.58931803e-02
 8.03142210e-02]","[-0.22198494 -0.26002159  0.220539   -0.17326126 -0.29456958 -0.12808081
  0.19274308  0.58591638 -0.5664192 ]",-0.13269783391187565,0.8517494620178883,42.894972513997345,0.0022288860865596785,0.008196812805202274,0.40289735671716836,0.8039098270965755
