iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
14,"[1.90499058e-09 2.10688443e-01 5.55820059e-02 5.59218399e-01
 1.45688211e-01 3.07096077e-02 3.27611419e-07 7.84444114e-01
 1.00000000e+00]","[-0.21487058 -0.45377521  0.01848047  0.43380326  0.54492247  0.03580151
 -0.02037197  0.50494038 -0.07609103]",0.5485074572368809,0.8722357122165432,0.004017275968787517,0.01140382039228177,0.35422622963088524,0.7542811619977978
15,"[1.09330536e-11 9.10621446e-01 2.22441336e-02 9.70627965e-02
 1.65217384e-01 2.60481468e-01 2.33741098e-09 4.55677910e-01
 1.00000000e+00]","[-0.15012524  0.68456999  0.00662245 -0.18330627 -0.15699745  0.42641885
 -0.10791476  0.48329833 -0.15322267]",0.7578804085353944,0.7962642624838467,0.0032839908114535928,0.01013920583390629,0.3460013037168227,0.7086708013606692
16,"[4.63528921e-11 4.75164468e-01 6.66537692e-01 1.06433885e-01
 1.09302003e-01 3.45578569e-04 6.30370740e-01 4.89670431e-02
 1.00000000e+00]","[-0.10287809  0.20079821  0.66685264 -0.30659882 -0.13601425 -0.03541107
  0.62038521  0.00134281  0.07594384]",0.9594655028351535,0.7434142600366273,0.002573531490308808,0.008851453729749386,0.33899530293986196,0.6599691279132467
17,"[1.59186856e-10 9.01261563e-01 1.24726675e-09 8.71342221e-02
 1.62381940e-01 6.23567865e-01 5.72142008e-02 4.13396429e-02
 1.00000000e+00]","[-0.11381715  0.62159241 -0.132665   -0.29443775 -0.0632503   0.56074124
  0.41912854 -0.04763012 -0.00249841]",0.8934639358140258,0.7892521796633096,0.002925546913451879,0.00949859344778915,0.3314939848979728,0.6643275631163643
18,"[6.94947086e-11 7.42241262e-01 7.80239047e-01 1.15053908e-02
 2.27571121e-01 9.84697249e-03 1.89379265e-08 5.82144737e-02
 1.00000000e+00]","[-0.15694515  0.56601484  0.57271659 -0.27161083  0.47466048 -0.12416599
 -0.09010296  0.01800283  0.06368893]",1.0353837337617873,0.755002170440813,0.007104564309876558,0.016306701312664172,0.32810731887110917,0.693264535040838
19,"[1.00000000e+00 7.43671791e-01 9.29730170e-03 9.67115726e-02
 1.32884930e-01 4.10716856e-09 6.90654728e-01 4.49315553e-02
 1.00000000e+00]","[ 0.46047637  0.57859512 -0.16793226 -0.20363223 -0.15908697 -0.08893838
  0.57347204 -0.13234592  0.06259033]",1.3010810613866706,0.7565441874438732,0.006314533720347517,0.015099318939894302,0.32175796844312127,0.6802258675831723
20,"[2.74642768e-01 6.41869527e-01 3.26354567e-02 1.34002026e-01
 5.02853240e-01 3.58819126e-11 5.82688140e-01 4.59180116e-02
 1.00000000e+00]","[ 0.06597032  0.30391375 -0.02919411 -0.32810611  0.65391014 -0.16190268
  0.56695636 -0.09083767 -0.10619082]",0.7170892684594247,0.6905339788629946,0.007104564309876558,0.016306701312664172,0.31617030581395805,0.7499191795453959
21,"[5.83186932e-11 7.61710683e-01 1.72437480e-10 1.44887158e-01
 4.06290352e-01 1.63897854e-02 2.84057552e-08 6.10609417e-01
 1.00000000e+00]","[-0.29176382  0.47209612 -0.21074258 -0.1510435   0.59008974 -0.00864906
  0.00159876  0.52544365  0.01995643]",0.9181196834112532,0.6758604227092084,0.011176539530947749,0.02222122141652122,0.3113893593856051,0.6643589597901021
22,"[1.00000000e+00 1.75394585e-01 3.48063856e-02 5.44417458e-01
 1.14963479e-01 7.33820674e-02 2.34915365e-08 4.75260291e-02
 4.08396477e-01]","[ 0.45505737 -0.28919841 -0.17661924  0.60176999  0.21075897  0.06373428
 -0.01156041 -0.18411253 -0.48316986]",0.5486316768785737,0.82240937404594,0.007104564309876558,0.016306701312664172,0.30665976851365323,0.6778150403390129
23,"[1.         0.31128706 0.57051207 0.11852565 0.09547097 0.05262162
 0.00235535 0.5485315  1.        ]","[ 0.39019683 -0.16823323  0.46753618 -0.3679228  -0.15886603 -0.04911824
  0.11482184  0.60977274  0.22984536]",1.107798325848413,0.7092805429241086,0.011176539530947749,0.02222122141652122,0.3032422485326781,0.6691078612049166
