,npc_total_meur,emissions_total_mton,industry_heat_capacity_gw
No flexibility,29414209.10317017,5876.942073332489,67.30279702875741
Full flexibility,28897812.73274503,5771.265179655542,59.976269508618124
DSM pessimistic,29212742.18308522,5825.990783837819,62.612284559715654
DSM only,28897806.647285294,5771.266827508227,59.97396858241585
TES only,29414209.691309012,5876.941546027905,67.3040418040063
Single temperature level,29272563.676275603,5834.112919658766,191.4659527743489
