node,kt_yr
AT,184.43763408493402
BE,288.7730366422643
BG,119.1531426521852
CH,184.43763408493402
CZ,184.40452571594676
DE,1390.5205125845853
DK,130.3389820122665
EE,5.784155055431221
EL,7.91536961291447
ES,882.9590677132817
FI,65.81741399677983
FR,797.777231073659
HR,50.528430626561764
HU,53.840283777303206
IE,75.06360541416579
IT,1048.2667310294203
LT,13.679295349108864
LU,0.9939309840041011
LV,25.236526979676267
NL,105.3925673911173
NO,65.81741399677983
PL,465.2913546088794
PT,215.92957933686168
RO,120.5923634017258
SE,28.00318766719632
SI,60.94718283205251
SK,43.29313575975989
UK,1164.040524906138
