iteration,point,cut_direction,cut_support_value,trial_direction_gap,ci_lower,ci_upper,mean_gap,max_gap
13,"[2.42208464e-01 5.55934164e-01 3.69065302e-01 1.66649573e-01
 1.50033300e-01 5.65235625e-02 4.53097927e-08 7.78059111e-01
 1.00000000e+00]","[ 0.07719385  0.48849137  0.50271071  0.37938262 -0.03136357  0.22008944
  0.03916574  0.50453238  0.23077726]",1.1700910170915486,0.8368213760988408,0.0022288860865596785,0.008196812805202274,0.3846717480275456,0.8305010651293064
14,"[4.63510658e-08 1.96559258e-01 9.54411277e-01 2.73351816e-01
 9.39644045e-02 1.69050759e-01 2.82786491e-06 5.37243812e-02
 8.01174983e-01]","[-0.13162902 -0.15904414  0.58408806  0.17083066 -0.0631258   0.34746533
 -0.17873516  0.43759985 -0.48875339]",0.25763548262362207,0.7929832129671256,0.0022288860865596785,0.008196812805202274,0.3738567266443572,0.8157933665151887
15,"[1.81858440e-09 2.29228655e-01 6.95863153e-01 2.50535920e-01
 4.98214375e-02 7.11759689e-02 5.62157337e-01 4.83252658e-02
 1.00000000e+00]","[-0.27916044 -0.34911252  0.47862073  0.26548407 -0.18778816  0.26372799
  0.59690257  0.14806902  0.1326512 ]",0.804316282819048,0.7852775978451294,0.002573531490308808,0.008851453729749386,0.36568565597553626,0.7713730274127797
16,"[1.00000000e+00 9.99999999e-01 6.36283389e-11 2.67932440e-01
 2.20561362e-01 1.55717328e-10 3.41062449e-02 4.48882995e-02
 1.00000000e+00]","[ 0.2231556   0.62891311 -0.12252063  0.48880272  0.29546684 -0.3674691
  0.22219561 -0.15145985  0.07800831]",1.1269911767558665,0.7483887697230805,0.002925546913451879,0.00949859344778915,0.356532172575077,0.7091584265270205
17,"[1.         0.34078185 0.05408752 0.34408895 0.08527781 0.12340843
 0.00474162 0.04764342 0.2148181 ]","[ 0.30614011  0.22668817  0.18032148  0.48618049 -0.35959605  0.37973977
  0.18058444  0.03278503 -0.52802102]",0.4656211010064286,0.7301834862577754,0.0036481066926209622,0.010774069897874302,0.34984402821818783,0.8069270280266514
18,"[1.00000000e+00 7.98651552e-01 3.51703820e-01 3.41538492e-02
 1.56592423e-01 5.53416966e-11 4.07484554e-01 5.08489109e-02
 1.00000000e+00]","[ 0.19095911  0.64161225  0.52703225 -0.26785184 -0.07686725 -0.04471333
  0.39155663  0.10178721 -0.17542993]",0.8568570933886612,0.7357744406302584,0.0043909851837188926,0.012028982676593525,0.3387777055873382,0.7302557823419754
19,"[1.36898912e-10 2.66346491e-01 4.29885120e-02 4.87350288e-01
 8.51474655e-01 3.77903619e-02 3.12029436e-08 7.27624227e-02
 1.00000000e+00]","[-0.18807616 -0.27961356 -0.09317965  0.41910505  0.60143187  0.16338927
 -0.0026854   0.52152976 -0.20419421]",0.47780331508865226,0.7063620896068669,0.0075031930421536955,0.016906759290684307,0.33478870876950145,0.7032560564181987
20,"[0.99999999 0.39436953 0.03360595 0.20385523 0.21840046 0.04089576
 0.0150484  0.78669461 1.        ]","[ 0.32398554 -0.14324728 -0.15144745 -0.29526652  0.50393039  0.00655988
  0.27254355  0.66037397  0.00568272]",0.8418356285386931,0.6942941999913617,0.011592510279050451,0.02280386846708547,0.3269402044121425,0.674447808927236
21,"[0.02402792 0.30909792 0.53346439 0.18566023 0.10799562 0.05928948
 0.09880752 0.63977449 1.        ]","[-0.06857719 -0.27049925  0.38795152 -0.34249648  0.20996885  0.03149291
  0.44671558  0.57167525 -0.2878732 ]",0.20466363178122143,0.695583800419774,0.008711798638339738,0.018694152883190075,0.3225595694127498,0.6999132457469046
22,"[1.02039795e-10 2.35397366e-01 1.29238332e-01 2.67991944e-01
 5.94482892e-02 2.39864007e-01 2.29715377e-08 6.97850165e-02
 2.43350502e-01]","[-0.19570366 -0.65631199 -0.03688219 -0.46736788 -0.03853647  0.28926665
 -0.02046624 -0.27410225 -0.38787943]",-0.33093668599212606,0.6455392949333709,0.0075031930421536955,0.016906759290684307,0.31151664623323505,0.6905193142955635
23,"[2.42208466e-01 2.25035546e-01 4.73748941e-01 3.48553121e-01
 1.57944508e-01 2.26303881e-09 6.06015072e-01 4.50209530e-02
 1.00000000e+00]","[ 0.05899627 -0.37480731  0.34221018  0.36216555  0.48873728 -0.08040069
  0.53276109 -0.12907858  0.24888384]",0.8614272900927546,0.6442204237223768,0.009118505830421869,0.019286095513680296,0.30853151722416433,0.6267533095775936
24,"[7.25898590e-10 1.76904702e-01 1.18768216e-01 5.81146083e-01
 1.20639739e-01 4.20167181e-02 7.53161384e-02 6.00721321e-02
 3.57329754e-01]","[-0.15315131 -0.44737752  0.32000144  0.51430622  0.17488727 -0.0916825
  0.38209571 -0.00148642 -0.47380971]",0.1343783883059345,0.6977909639022589,0.009526959248201466,0.019876285103336635,0.30354848917961075,0.6443672711498832
25,"[1.         0.14571427 0.03503981 0.54359586 0.09411263 0.03650683
 0.00673678 0.58730324 1.        ]","[ 0.19188942 -0.52399236 -0.27695156  0.4440716  -0.19579697 -0.2906107
  0.26439971  0.46753705 -0.0584771 ]",0.5360812955210348,0.620347984258768,0.008306936494150655,0.018100357576854038,0.2976689400936333,0.5926154452792975
26,"[6.82622310e-11 1.66520929e-01 4.73232999e-02 5.92972529e-01
 7.56320741e-02 7.81643595e-01 5.10571251e-09 3.62116771e-02
 1.00000000e+00]","[-0.10302018 -0.31261908 -0.00124715  0.55928176  0.06484587  0.60712937
 -0.20160717 -0.03264146 -0.40538443]",0.35241885651675336,0.6054840500951146,0.009118505830421869,0.019286095513680296,0.2922550850328829,0.6416911393963228
27,"[1.00000000e+00 2.60057538e-01 4.15266380e-01 1.46019310e-01
 5.32111302e-02 7.29869551e-01 3.98104606e-08 4.59648245e-02
 1.00000000e+00]","[ 0.41737158 -0.13253296  0.39088919 -0.03150464 -0.2809638   0.68544525
 -0.18402706  0.04245675 -0.26458399]",0.7633309774722173,0.5973225692206527,0.008711798638339738,0.018694152883190075,0.2883955262147975,0.581731257863784
28,"[1.00000000e+00 1.83282535e-01 4.57568970e-11 3.68481724e-01
 3.98662900e-02 7.77762827e-01 1.20283678e-02 6.11888659e-02
 1.00000000e+00]","[ 0.25277652 -0.48619524 -0.45509269  0.07842898  0.00281707  0.58611221
  0.26434588  0.26237903 -0.06481366]",0.6029543223210623,0.5840023146236126,0.012848023284494036,0.024544187645002633,0.28446903938289897,0.6005174033640296
29,"[7.89471645e-10 9.99999980e-01 1.53244878e-09 2.97173711e-01
 1.50490628e-01 3.37635925e-02 1.68666137e-07 5.52831365e-02
 7.42340899e-01]","[-0.19870101  0.67632028 -0.0642451   0.55060286 -0.15594275  0.08340432
 -0.21021428  0.09750369 -0.33293605]",0.5775312928950582,0.600822843122462,0.011592510279050451,0.02280386846708547,0.28229808076694923,0.6447972580635047
30,"[1.         0.42373118 0.08657519 0.18196012 0.08266798 0.02941833
 0.37063061 0.05563634 0.46256369]","[ 0.12217977 -0.24080674 -0.08842111 -0.49913802 -0.05739671 -0.28308433
  0.48319672 -0.15053001 -0.57494146]",-0.18664306781179169,0.622502051853661,0.008711798638339738,0.018694152883190075,0.2780495413520697,0.5688192192253716
31,"[0.99999999 0.4805978  0.02985655 0.26156294 0.83401146 0.0895063
 0.02548381 0.04527869 1.        ]","[ 0.16959258  0.22533457  0.01530829  0.33954534  0.63367146  0.32850334
  0.46109939 -0.04230993 -0.2847465 ]",0.6501381150679219,0.5657424172969082,0.014962973439029201,0.027422235885236176,0.27503556361232406,0.6020537829720335
32,"[9.99999943e-01 8.43424447e-01 9.81868142e-11 1.11468219e-01
 1.51043104e-01 2.02149160e-10 5.72503992e-01 4.57613626e-02
 1.00000000e+00]","[ 0.12831307  0.6767358  -0.15127374  0.05634438 -0.28514384 -0.18506251
  0.44858669  0.03874687 -0.42569884]",0.4951921236711736,0.5715200188804519,0.012848023284494036,0.024544187645002633,0.2655111703845264,0.628054936924447
33,"[1.01866991e-10 5.39135885e-01 1.60947918e-10 1.60501423e-01
 9.74724177e-02 3.28786850e-01 2.16028170e-02 7.08499298e-01
 1.00000000e+00]","[-0.2970855   0.04975412 -0.26489412 -0.51854417 -0.2978122   0.46059161
  0.19099901  0.45196088  0.16917975]",0.5595249706233818,0.5620639903252589,0.017101772293112483,0.03027638582298846,0.2609740897788664,0.5603290727167114
34,"[0.00245057 0.87199273 0.01883008 0.11952427 0.16181074 0.25177507
 0.54143311 0.03514851 1.        ]","[ 0.02936606  0.68593888  0.07010851  0.21262822  0.00251666  0.4815381
  0.48899928 -0.06886449 -0.05245599]",0.9564705019623388,0.5395749330404853,0.021437024125278807,0.0359269357710986,0.2588142618056178,0.5476466037509007
35,"[1.00000000e+00 3.10385712e-01 5.27733116e-01 4.42238112e-01
 1.04600914e-01 9.35152767e-12 2.89985997e-01 4.49788822e-02
 1.00000000e+00]","[ 0.25647024  0.37300161  0.39202879  0.64271516  0.17843682 -0.1547689
  0.39546778  0.07808674 -0.10019006]",0.9000312888495469,0.5172827595395034,0.019260727467279994,0.033110344384400275,0.25476378446345044,0.5426960660352511
36,"[1.00000000e+00 5.59343555e-01 5.58963264e-01 5.45405556e-02
 2.61878009e-01 4.14713253e-01 1.68978391e-08 2.59766850e-02
 1.00000000e+00]","[ 0.20381606  0.33271845  0.46038527 -0.2291604   0.48735663  0.50942673
  0.02477872 -0.06257029 -0.2858798 ]",0.6861487290190396,0.5207489475348124,0.02362845767386259,0.038728370878609045,0.2526099420396649,0.5380966218210129
37,"[3.07816397e-10 9.61330287e-01 5.26817590e-01 5.87463626e-03
 2.32560500e-01 3.45578819e-04 5.41528068e-08 6.80316617e-02
 1.00000000e+00]","[-0.04524119  0.67404918  0.54759735 -0.20188627  0.29382072 -0.28651365
 -0.06015755  0.170122    0.04482077]",1.0599083257140205,0.5340481174160933,0.021437024125278807,0.0359269357710986,0.2491920044625533,0.5068207909546656
38,"[9.99999998e-01 5.41186683e-01 1.40592402e-10 2.49962171e-01
 1.43454519e-01 1.71675837e-02 5.82664476e-08 8.21541920e-01
 1.00000000e+00]","[ 0.24567033  0.49137962 -0.29329943  0.41224014 -0.2061234   0.15178886
 -0.11658974  0.50562086 -0.32780076]",0.6752673537196714,0.5242377805741419,0.02100049049809648,0.03536489350919096,0.24707938749065844,0.5456140945156854
39,"[1.00000000e+00 1.64579965e-01 9.54411869e-01 1.50735523e-01
 7.39582515e-02 2.32509712e-01 1.44052157e-07 5.22860530e-02
 1.00000000e+00]","[ 0.37832244 -0.54569645  0.5886555  -0.24922537 -0.14885419  0.24772425
  0.17217066  0.07658835  0.17727253]",1.0406307755138784,0.49856079726364233,0.01624365056155738,0.029137332911569058,0.24413600531980137,0.5143258060865628
40,"[9.99999999e-01 3.88806024e-01 3.31371934e-10 1.91462875e-01
 1.90371512e-01 2.59150406e-01 2.11379431e-01 4.65393945e-01
 1.00000000e+00]","[ 0.14495487 -0.11545203 -0.18989825 -0.24126551  0.42982777  0.49377173
  0.4625856   0.46501945  0.11223885]",0.6900983145451492,0.5211179320469432,0.02627569707903695,0.042072554366292286,0.23919031414579373,0.4958889229718764
41,"[3.38197380e-01 2.26579161e-01 4.41029871e-02 3.64947181e-01
 1.29367480e-01 9.19370775e-02 8.35484416e-07 6.78185743e-02
 1.15844536e-01]","[ 0.02780123 -0.74367006 -0.23485001 -0.17865456  0.3693839  -0.01069359
 -0.06224189  0.05886698 -0.46390923]",-0.23760089772013954,0.5124815545115391,0.02362845767386259,0.038728370878609045,0.23572727539626842,0.47058449698226307
42,"[0.33397058 0.4709872  0.53365061 0.16651146 0.1362852  0.00295779
 0.00639813 0.07009797 0.34512646]","[ 0.0878109   0.40203934  0.54193708  0.19610107 -0.25140934 -0.17647008
 -0.05823902  0.42356174 -0.47048646]",0.37269530704185394,0.5362773964020752,0.030277476523643463,0.04705787985950256,0.23443885814168988,0.4978175054140529
43,"[9.99999992e-01 3.13837061e-01 3.90682257e-09 2.47773310e-01
 6.12180980e-02 4.63949976e-01 4.72367279e-01 4.48698292e-02
 1.00000000e+00]","[ 0.12518614 -0.19591943 -0.16371225 -0.06686979  0.18957333  0.60234329
  0.57786298  0.05724545 -0.42274411]",0.19098132745131685,0.483294555370934,0.02716195448589473,0.043183434086322615,0.2305372097080139,0.4748553251352779
44,"[9.44100341e-02 6.99280882e-02 8.72736266e-01 4.70221712e-01
 5.91089092e-02 1.69347790e-01 9.29212559e-08 6.36462138e-02
 1.00000000e+00]","[-0.03710011 -0.64671488  0.37081017  0.48395887 -0.15492735  0.2243064
  0.00351494  0.35734638 -0.08150118]",0.4725320670745473,0.47838246314867205,0.02318905002633464,0.03816920611390749,0.22745072546449346,0.47652467042504787
45,"[4.20225653e-10 2.63117712e-01 6.88516940e-10 2.84084549e-01
 1.43530590e-01 9.64444134e-02 3.54738030e-07 8.13201765e-01
 1.00000000e+00]","[-0.38244894 -0.56289074 -0.43320851 -0.47072471  0.10531272 -0.12172524
 -0.09729951  0.17884287  0.24551107]",0.11249010487974556,0.4582680381540764,0.028939761796717287,0.04539989621753072,0.22545942733246715,0.46762989218521
