year,price_import
2022,0.8560932457078902
2023,0.8560932457078902
2024,0.3946026413613263
2025,0.3946026413613263
2026,0.2393171682568283
2027,0.2393171682568283
2028,0.2175951050294585
2029,0.2175951050294585
2030,0.2164044156697555
2031,0.2164044156697555
2032,0.2145023811211111
2033,0.2145023811211111
2034,0.2067426050598823
2035,0.2067426050598823
2036,0.194907980720405
2037,0.194907980720405
2038,0.194907980720405
2039,0.194907980720405
2040,0.194907980720405
2041,0.194907980720405
2042,0.194907980720405
2043,0.194907980720405
2044,0.194907980720405
2045,0.194907980720405
2046,0.1948207042713357
2047,0.1948207042713357
2048,0.1947334278222663
2049,0.1947334278222663
2050,0.1947334278222663
