iteration,batch_directions,batch_sources,batch_points,batch_support_values,batch_size_applied,best_gap,ci_lower,ci_upper,mean_gap,max_gap,wall_time_seconds
0,"[[ 0.10630427  0.50002436  0.17273555  0.46666133  0.07427826  0.46064059
   0.10209484  0.49697763 -0.12628359]
 [-0.02011274  0.47105451 -0.06389996  0.33560497  0.0011175   0.29076981
  -0.33203657  0.63779045 -0.24375387]
 [-0.352425    0.32746996 -0.00403353  0.3652954   0.33669282  0.36255076
   0.05823226  0.57213848 -0.2440584 ]
 [-0.20181351  0.44886507 -0.27904173  0.11095717  0.12058857  0.33197083
   0.15534209  0.68051284 -0.23588249]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.15539278 0.25695728 0.28532674 0.41692838 0.1650197  0.24618673
  0.08466295 0.12459322 0.08938074]
 [0.1540439  0.24593111 0.28343067 0.40903771 0.16508901 0.2411649
  0.08475583 0.12578224 0.01866241]
 [0.15275731 0.22391881 0.28316895 0.40917453 0.16796596 0.26319237
  0.08496185 0.12509583 0.01788946]
 [0.15346977 0.24256759 0.28204177 0.40544426 0.1668119  0.243768
  0.08560984 0.13082435 0.02851997]]",[0.57379158 0.34975219 0.39194571 0.24083195],4,0.3898785784791374,0.35743186194620774,0.39991951013659927,0.12934730439487208,0.3442495261828288,917.6249433780031
1,"[[-0.04215475 -0.23403526 -0.085538    0.84497163 -0.2332113  -0.30389236
  -0.11225116 -0.17421567 -0.1801865 ]
 [ 0.16953901 -0.10321468 -0.21664914  0.71838168 -0.0393639  -0.31766327
   0.22596428 -0.29418001 -0.39690423]
 [ 0.31766182 -0.47520832 -0.1841727   0.62521932  0.14070967 -0.23295638
  -0.02811801 -0.37761948 -0.17605186]
 [-0.05727462  0.59370303  0.45043855 -0.2555076  -0.06734129 -0.48572045
  -0.06737835 -0.33792875 -0.12985536]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.1517752  0.21486361 0.29158476 0.46239215 0.16171147 0.23440881
  0.08369957 0.11929499 0.1029245 ]
 [0.153321   0.2174457  0.28439886 0.44019649 0.16432917 0.23976006
  0.08461266 0.12077002 0.0289464 ]
 [0.15269221 0.2157394  0.28764353 0.45432764 0.16399086 0.23781949
  0.08375417 0.11906691 0.06617514]
 [0.16043917 0.27364192 0.2845781  0.40770843 0.16215555 0.23487659
  0.08207018 0.11725043 0.11525526]]",[ 0.15141094  0.14763539  0.08576795 -0.0078374 ],4,0.21276816319965486,0.6293975186399665,0.671167244199949,0.09086222639176413,0.17704985189821107,1131.285186180001
2,"[[ 0.0646836  -0.26144182 -0.18849217 -0.311059   -0.12464296  0.83988152
  -0.00408237 -0.21983859 -0.16091832]
 [ 0.28877015 -0.01409143 -0.26929079 -0.16552517  0.35376851  0.79839192
   0.18062135 -0.04710453 -0.13810287]
 [-0.49814071 -0.02346198  0.06920046 -0.21819428 -0.28358385  0.63890213
  -0.11643371 -0.3902557  -0.21079816]
 [-0.04032623  0.14691325  0.08572347 -0.35995509 -0.14798157  0.62777223
  -0.39567017 -0.50460194 -0.11269246]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.15243641 0.21622956 0.2810078  0.40310118 0.17121741 0.29072768
  0.08436053 0.1202978  0.0985175 ]
 [0.15308253 0.21679242 0.27999784 0.40205164 0.17201398 0.29693017
  0.08457875 0.12071021 0.13312221]
 [0.1524239  0.21640344 0.28306412 0.40640627 0.16819276 0.27698289
  0.0841134  0.11965205 0.03626076]
 [0.15347847 0.21918611 0.28196181 0.4037639  0.17140093 0.29472129
  0.08024527 0.11461999 0.14045107]]",[-0.04483533  0.1883262  -0.08495718 -0.04091623],4,0.19610434644986005,0.7522015396981887,0.7890147675494199,0.08300095484486827,0.17117924777506804,931.3241519150033
3,"[[ 0.211348   -0.3779007   0.17441896 -0.23769724 -0.17615749 -0.26862304
   0.03859398  0.77180416 -0.15887159]
 [ 0.08950067 -0.2093261   0.22334709 -0.44727231 -0.18090253 -0.31677636
   0.01827364  0.68371154 -0.31203747]
 [ 0.3035209  -0.07986993  0.13169855 -0.46032009 -0.337959   -0.50492223
  -0.23700335  0.48861519 -0.09043581]
 [ 0.04461578 -0.23836069  0.08255845 -0.16767192 -0.54923123  0.54619344
  -0.03498146  0.53042409  0.15397471]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.15332102 0.21692002 0.2830008  0.40568355 0.16275655 0.23557384
  0.08776454 0.18175196 0.17668106]
 [0.15351399 0.22042912 0.28311774 0.40656874 0.16427424 0.23828478
  0.08580646 0.15565484 0.06592697]
 [0.16037765 0.22506039 0.28128253 0.40209773 0.15917409 0.22978525
  0.0881144  0.1837491  0.24105081]
 [0.15215681 0.21555124 0.2812972  0.40117696 0.16523008 0.40171482
  0.08730228 0.15976964 1.00000182]]",[-0.07299613 -0.16879667 -0.24006518  0.27569817],4,0.1847477024308649,0.8146218951921107,0.8474194880452741,0.07733927104397954,0.1577314645104508,957.8478246849991
4,"[[-0.15015973  0.54801121 -0.20814731 -0.25557914  0.19852551 -0.30564713
   0.31704514  0.57847188 -0.02258065]
 [-0.19987721  0.48277241 -0.03005218 -0.41558915  0.02122293 -0.29666045
  -0.34932018  0.56618491  0.1493809 ]
 [-0.25111464  0.50218119  0.17374936 -0.25010645  0.16435549 -0.5115495
  -0.17326875  0.52119696  0.04061354]
 [ 0.04304939 -0.22883089  0.27955438  0.56993461 -0.39904961  0.00124043
  -0.25207165  0.56566103 -0.0072397 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.16036468 0.28070711 0.27549146 0.39166313 0.16241151 0.23347547
  0.09042852 0.26056822 0.9999998 ]
 [0.15915765 0.27037749 0.27768302 0.39406933 0.1627294  0.23502331
  0.08724248 0.27180201 0.99999963]
 [0.15680373 0.2850641  0.28177325 0.39974781 0.16068042 0.22918118
  0.08801969 0.25734304 1.00000003]
 [0.15026947 0.21242383 0.29636989 0.56960994 0.15845806 0.22909627
  0.08460798 0.16290804 0.99999999]]",[0.09000898 0.13312984 0.12141661 0.36598711],4,0.1700665674080603,0.8905050636291235,0.9163267878446192,0.07035011104631649,0.15089147558207294,858.0370630209945
5,"[[-0.19876559 -0.25885567 -0.25851349  0.56811352 -0.15572094  0.62973368
  -0.14354823 -0.231256   -0.09489381]
 [ 0.29160252  0.57991344 -0.10098269  0.48204517 -0.30926386 -0.46093866
   0.14358139 -0.06950579 -0.05047833]
 [ 0.1202981  -0.16547501 -0.3903965   0.44506146 -0.2241713   0.44464464
  -0.54112294 -0.07594953  0.24721096]
 [-0.0429306   0.18218772  0.1017316   0.64904253  0.10669172  0.6942857
  -0.17747248 -0.05545018  0.0732947 ]]","['bbo_main', 'random_fill', 'random_fill', 'random_fill']","[[0.15074946 0.2133668  0.28527208 0.43791385 0.17041298 0.41170548
  0.08120507 0.11545458 1.0002366 ]
 [0.16129553 0.39681005 0.29103325 0.42656012 0.15415818 0.21986399
  0.08441236 0.12022104 1.00000081]
 [0.15262923 0.21524492 0.28417119 0.56885666 0.17010643 0.2812405
  0.07934544 0.11333761 1.00000723]
 [0.15150555 0.21456288 0.28941459 0.45138207 0.16976726 0.40038187
  0.08059115 0.11503177 1.00000047]]",[0.18929835 0.25764783 0.40756836 0.70370092],4,0.16088672506335572,0.9397904479758163,0.9589086877866552,0.06602629960746748,0.1377586775840286,1007.4150656440033
