node,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1.0,1.005082957628075,1.01016591525615,1.015248872884225,1.0203318305123,1.025414788140375,1.03049774576845,1.0355807033965252,1.0406636610246005,1.047077326214292,1.0534909914039838,1.059904656593676,1.0663183217833678,1.0727319869730598,1.0791456521627516,1.0855593173524434,1.0919729825421356,1.0983866477318274,1.1048003129215194,1.1121484125446492,1.119496512167779,1.126844611790909,1.1341927114140389,1.1415408110371688,1.1488889106602986,1.1562370102834283,1.1635851099065586,1.1709332095296885,1.178281309152818
BE,1.0,1.0053879478841028,1.0107758957682054,1.0161638436523082,1.0215517915364107,1.0269397394205133,1.032327687304616,1.037715635188719,1.0431035830728212,1.0503142983935234,1.0575250137142256,1.0647357290349275,1.0719464443556297,1.079157159676332,1.086367874997034,1.0935785903177362,1.100789305638438,1.1080000209591403,1.1152107362798425,1.1242063570299683,1.1332019777800946,1.1421975985302204,1.1511932192803465,1.1601888400304723,1.1691844607805983,1.1781800815307244,1.1871757022808502,1.1961713230309765,1.2051669437811023
BG,1.0,1.0078753744192852,1.0157507488385704,1.0236261232578558,1.0315014976771413,1.0393768720964265,1.0472522465157117,1.0551276209349971,1.0630029953542823,1.0603612597805463,1.0577195242068111,1.0550777886330756,1.0524360530593395,1.049794317485604,1.0471525819118686,1.044510846338133,1.0418691107643971,1.039227375190661,1.0365856396169255,1.033944010941228,1.0313023822655298,1.028660753589832,1.0260191249141342,1.0233774962384363,1.0207358675627385,1.0180942388870402,1.0154526102113424,1.0128109815356443,1.0101693528599465
CH,1.0,1.0034571839264528,1.0069143678529056,1.0103715517793583,1.0138287357058111,1.017285919632264,1.020743103558717,1.0242002874851694,1.0276574714116222,1.0381221625953354,1.0485868537790484,1.0590515449627615,1.0695162361464747,1.0799809273301877,1.090445618513901,1.100910309697614,1.1113750008813272,1.1218396920650404,1.1323043832487534,1.144449990346655,1.1565955974445563,1.168741204542458,1.1808868116403592,1.1930324187382608,1.2051780258361622,1.2173236329340635,1.2294692400319651,1.2416148471298665,1.253760454227768
CZ,1.0,0.9916919888950082,0.9833839777900166,0.9750759666850248,0.9667679555800331,0.9584599444750416,0.95015193337005,0.9418439222650582,0.9335359111600666,0.930730060694632,0.9279242102291976,0.9251183597637628,0.9223125092983282,0.9195066588328936,0.916700808367459,0.9138949579020244,0.9110891074365898,0.9082832569711552,0.9054774065057206,0.9027172810199444,0.8999571555341682,0.897197030048392,0.8944369045626158,0.8916767790768397,0.8889166535910635,0.8861565281052873,0.883396402619511,0.8806362771337349,0.8778761516479587
DE,1.0,1.0018923620194145,1.003784724038829,1.0056770860582431,1.0075694480776576,1.009461810097072,1.0113541721164865,1.013246534135901,1.0151388961553152,1.0175194967614447,1.0199000973675745,1.0222806979737036,1.0246612985798331,1.0270418991859624,1.029422499792092,1.0318031003982215,1.034183701004351,1.0365643016104804,1.03894490221661,1.0414708612033738,1.0439968201901375,1.0465227791769016,1.0490487381636653,1.0515746971504292,1.0541006561371928,1.0566266151239567,1.0591525741107206,1.0616785330974845,1.0642044920842484
DK,1.0,1.0008458586047055,1.0016917172094113,1.0025375758141168,1.0033834344188224,1.004229293023528,1.0050751516282337,1.0059210102329392,1.0067668688376448,1.0065318685595122,1.0062968682813795,1.0060618680032467,1.005826867725114,1.0055918674469813,1.0053568671688489,1.005121866890716,1.0048868666125834,1.0046518663344508,1.004416866056318,1.004215797503255,1.0040147289501922,1.0038136603971293,1.0036125918440664,1.0034115232910037,1.0032104547379406,1.0030093861848777,1.0028083176318148,1.002607249078752,1.002406180525689
EE,1.0,1.001321215218197,1.0026424304363937,1.0039636456545904,1.0052848608727871,1.006606076090984,1.007927291309181,1.0092485065273775,1.0105697217455745,1.011511469764364,1.0124532177831531,1.0133949658019428,1.014336713820732,1.0152784618395214,1.0162202098583106,1.0171619578771,1.0181037058958895,1.019045453914679,1.0199872019334684,1.0209290736337542,1.02187094533404,1.022812817034326,1.0237546887346118,1.0246965604348977,1.0256384321351837,1.0265803038354695,1.0275221755357555,1.0284640472360411,1.0294059189363272
EL,1.0,1.0025093312317226,1.0050186624634452,1.0075279936951678,1.0100373249268904,1.012546656158613,1.0150559873903358,1.0175653186220583,1.020074649853781,1.0255213958512794,1.0309681418487784,1.0364148878462769,1.0418616338437756,1.0473083798412743,1.052755125838773,1.0582018718362718,1.0636486178337703,1.069095363831269,1.0745421098287675,1.080231225656922,1.0859203414850762,1.0916094573132304,1.0972985731413845,1.1029876889695385,1.108676804797693,1.114365920625847,1.1200550364540012,1.1257441522821554,1.1314332681103096
ES,1.0,1.003289616087085,1.0065792321741702,1.0098688482612552,1.0131584643483404,1.0164480804354257,1.019737696522511,1.023027312609596,1.0263169286966811,1.0301137012423272,1.0339104737879734,1.0377072463336197,1.0415040188792657,1.0453007914249115,1.049097563970558,1.052894336516204,1.0566911090618505,1.0604878816074963,1.0642846541531423,1.068142254640876,1.0719998551286098,1.0758574556163436,1.0797150561040774,1.083572656591811,1.0874302570795444,1.0912878575672782,1.095145458055012,1.0990030585427455,1.1028606590304797
FI,1.0,1.008895590051759,1.0177911801035182,1.026686770155277,1.0355823602070362,1.0444779502587953,1.0533735403105544,1.0622691303623135,1.0711647204140724,1.083229668005071,1.0952946155960697,1.1073595631870683,1.1194245107780671,1.1314894583690658,1.1435544059600644,1.155619353551063,1.1676843011420617,1.1797492487330603,1.191814196324059,1.2020812251883544,1.2123482540526496,1.2226152829169448,1.2328823117812402,1.2431493406455354,1.2534163695098308,1.263683398374126,1.2739504272384214,1.2842174561027169,1.294484484967012
FR,1.0,0.999970638006976,0.999941276013952,0.9999119140209282,0.9998825520279042,0.9998531900348802,0.999823828041856,0.9997944660488324,0.9997651040558084,0.9997243249273868,0.9996835457989658,0.9996427666705444,0.999601987542123,0.999561208413702,0.9995204292852804,0.9994796501568592,0.9994388710284378,0.9993980919000166,0.9993573127715952,0.9993167451002424,0.9992761774288896,0.9992356097575372,0.9991950420861844,0.9991544744148316,0.9991139067434788,0.999073339072126,0.9990327714007732,0.9989922037294204,0.9989516360580676
HR,1.0,1.0003291912690937,1.0006583825381872,1.0009875738072809,1.0013167650763746,1.0016459563454685,1.0019751476145615,1.0023043388836554,1.0026335301527491,1.0028733329088064,1.003113135664864,1.0033529384209212,1.0035927411769785,1.003832543933036,1.0040723466890933,1.0043121494451508,1.004551952201208,1.0047917549572654,1.0050315577133229,1.0053146670843618,1.0055977764554012,1.0058808858264403,1.0061639951974792,1.0064471045685184,1.0067302139395575,1.007013323310597,1.0072964326816358,1.007579542052675,1.007862651423714
HU,1.0,0.998400851188719,0.996801702377438,0.9952025535661574,0.9936034047548764,0.9920042559435956,0.9904051071323148,0.988805958321034,0.987206809509753,0.989029928022222,0.9908530465346908,0.9926761650471596,0.9944992835596284,0.9963224020720972,0.9981455205845662,0.9999686390970348,1.001791757609504,1.0036148761219728,1.0054379946344416,1.0072786645795102,1.0091193345245788,1.0109600044696476,1.0128006744147164,1.014641344359785,1.016482014304854,1.0183226842499224,1.020163354194991,1.02200402414006,1.0238446940851285
IE,1.0,1.0008230046614728,1.0016460093229451,1.002469013984418,1.003292018645891,1.0041150233073637,1.0049380279688362,1.0057610326303088,1.0065840372917816,1.0065663619650127,1.0065486866382436,1.0065310113114745,1.0065133359847056,1.0064956606579365,1.0064779853311672,1.0064603100043985,1.0064426346776292,1.0064249593508603,1.0064072840240912,1.0063905900507626,1.0063738960774338,1.0063572021041052,1.0063405081307766,1.0063238141574478,1.0063071201841192,1.0062904262107906,1.006273732237462,1.0062570382641332,1.0062403442908046
IT,1.0,0.9992530033637556,0.9985060067275108,0.9977590100912664,0.9970120134550216,0.9962650168187772,0.9955180201825324,0.994771023546288,0.9940240269100432,0.9926264438725656,0.9912288608350877,0.9898312777976096,0.9884336947601317,0.9870361117226538,0.985638528685176,0.984240945647698,0.98284336261022,0.981445779572742,0.9800481965352644,0.978659777331994,0.9772713581287236,0.9758829389254532,0.9744945197221828,0.9731061005189124,0.971717681315642,0.9703292621123716,0.9689408429091012,0.9675524237058308,0.9661640045025606
