node,demand
AT,127.24950183915763
BE,242.388987937046
BG,112.58955184910843
CH,127.24950183915763
CZ,214.27469920501
DE,1060.9390645755404
DK,37.901899185091835
EE,12.11737673734429
EL,36.93663364795799
ES,680.6473496910774
FI,52.51304346565107
FR,475.8052650475207
HR,17.1721748020364
HU,68.5924660752019
IE,24.782548003937936
IT,848.1987508251202
LT,12.474325299455606
LU,42.66381712389995
LV,20.670223472940236
NL,252.29680575977076
NO,52.51304346565107
PL,527.7825137183593
PT,253.09640553182038
RO,70.74746644538565
SE,62.043142838934926
SI,13.605110475078051
SK,34.19280426173888
UK,888.1394085488656
